               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.027609,            0.021517,           0.0030901,             0.86584,             0.82438,             0.87909,             0.58255,            0.022863,           0.0072208,           0.0011339,           0.0046285,           0.0046285,           0.0046285
                  55,            0.027507,            0.022413,           0.0031607,             0.78954,             0.82723,               0.864,             0.57831,            0.023449,           0.0074345,           0.0013458,           0.0046147,           0.0046147,           0.0046147
                  56,            0.027013,            0.022085,           0.0031376,             0.90906,             0.77907,             0.88177,              0.5871,            0.023058,           0.0073541,           0.0010695,           0.0046007,           0.0046007,           0.0046007
                  57,            0.027317,            0.021802,           0.0031191,             0.86895,             0.80061,             0.87589,             0.59241,            0.023221,           0.0072865,           0.0013361,           0.0045865,           0.0045865,           0.0045865
                  58,            0.027324,            0.021632,           0.0031308,             0.86548,             0.82306,              0.8819,             0.59561,            0.022999,           0.0072229,           0.0018339,            0.004572,            0.004572,            0.004572
                  59,            0.026787,            0.020531,           0.0029495,             0.85199,             0.80856,             0.88185,              0.5917,            0.022879,           0.0074172,           0.0017109,           0.0045573,           0.0045573,           0.0045573
                  60,             0.02696,            0.022451,           0.0030617,             0.92031,             0.76854,             0.88955,             0.59631,            0.023268,            0.007413,            0.001536,           0.0045424,           0.0045424,           0.0045424
                  61,            0.027385,            0.023262,           0.0030433,              0.9032,             0.80373,              0.9081,             0.60422,            0.022643,           0.0074064,           0.0011058,           0.0045273,           0.0045273,           0.0045273
                  62,            0.026714,            0.021911,           0.0028789,             0.84577,             0.84252,             0.90143,             0.60634,            0.021976,           0.0072249,           0.0014218,            0.004512,            0.004512,            0.004512
                  63,            0.026968,            0.021205,           0.0027253,             0.88128,             0.80724,             0.88546,             0.60624,            0.022844,           0.0074215,           0.0013043,           0.0044964,           0.0044964,           0.0044964
                  64,            0.026541,             0.02003,           0.0030764,             0.93233,             0.78788,             0.89048,             0.58582,            0.022527,           0.0072319,           0.0015902,           0.0044806,           0.0044806,           0.0044806
                  65,            0.026981,            0.021168,           0.0030241,             0.90123,             0.81197,             0.90449,             0.61044,            0.021692,           0.0072135,           0.0017834,           0.0044646,           0.0044646,           0.0044646
                  66,            0.026541,            0.020968,           0.0029201,             0.82862,             0.85575,             0.89257,             0.60413,            0.022112,           0.0073185,           0.0013811,           0.0044484,           0.0044484,           0.0044484
                  67,            0.026652,             0.02145,           0.0029388,             0.83679,             0.86388,             0.89493,             0.60183,            0.022589,           0.0073448,           0.0010758,            0.004432,            0.004432,            0.004432
                  68,            0.026563,             0.02273,           0.0027785,             0.86824,             0.83975,             0.89958,             0.61189,            0.022459,           0.0070512,            0.001432,           0.0044154,           0.0044154,           0.0044154
                  69,            0.026861,            0.022531,           0.0029497,             0.89087,             0.80811,             0.88584,              0.5928,            0.022811,           0.0073066,           0.0016444,           0.0043986,           0.0043986,           0.0043986
                  70,            0.026367,              0.0202,           0.0027969,             0.88446,             0.82962,             0.90503,             0.61203,            0.022004,           0.0071428,           0.0016533,           0.0043815,           0.0043815,           0.0043815
                  71,            0.026313,            0.021558,            0.002919,             0.89197,             0.80605,             0.89483,             0.59824,            0.022479,           0.0072422,           0.0013009,           0.0043643,           0.0043643,           0.0043643
                  72,            0.026341,             0.02217,           0.0028803,             0.87071,             0.84191,              0.9002,             0.59818,            0.022126,            0.007326,           0.0018399,           0.0043468,           0.0043468,           0.0043468
