               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.027566,            0.026888,            0.011769,             0.86626,             0.77055,              0.8581,             0.53179,            0.027851,            0.011266,           0.0095091,           0.0092481,           0.0092481,           0.0092481
                  58,            0.027852,            0.027019,            0.012678,             0.74789,             0.83968,             0.84974,             0.53399,             0.02769,            0.011136,            0.007698,           0.0092219,           0.0092219,           0.0092219
                  59,            0.027807,            0.026303,            0.011739,               0.842,             0.80537,             0.86816,             0.54505,            0.028023,            0.011166,           0.0069177,           0.0091952,           0.0091952,           0.0091952
                  60,            0.027519,            0.026608,            0.012371,             0.86594,             0.78038,             0.86662,             0.53108,            0.028251,            0.011031,           0.0080816,           0.0091681,           0.0091681,           0.0091681
                  61,            0.027211,            0.027005,             0.01132,             0.88126,             0.76189,             0.86441,             0.54488,            0.027696,            0.011094,           0.0078773,           0.0091406,           0.0091406,           0.0091406
                  62,            0.027206,            0.026498,            0.011744,             0.89257,             0.75729,             0.86196,             0.54552,            0.027569,            0.011112,           0.0079257,           0.0091127,           0.0091127,           0.0091127
                  63,            0.027386,            0.025707,            0.010859,              0.7921,              0.8224,             0.86708,             0.53582,            0.027628,            0.010916,           0.0072675,           0.0090844,           0.0090844,           0.0090844
                  64,            0.027023,            0.026275,            0.011448,              0.8723,             0.77554,             0.86356,              0.5393,            0.028048,            0.011162,           0.0076753,           0.0090557,           0.0090557,           0.0090557
                  65,            0.027098,            0.026403,            0.011186,             0.75396,             0.81388,             0.85012,             0.54297,            0.026843,            0.011191,           0.0088014,           0.0090266,           0.0090266,           0.0090266
                  66,            0.027142,            0.027087,            0.011711,             0.80564,             0.83667,             0.87261,             0.55174,            0.026859,            0.010765,            0.006901,           0.0089972,           0.0089972,           0.0089972
                  67,            0.026989,            0.026497,            0.010994,             0.79128,             0.82296,              0.8648,             0.55403,            0.027305,             0.01088,           0.0083617,           0.0089673,           0.0089673,           0.0089673
                  68,            0.027118,            0.025524,            0.010938,             0.89394,             0.77643,              0.8727,             0.54918,            0.027212,            0.011075,            0.006718,           0.0089371,           0.0089371,           0.0089371
                  69,            0.026662,            0.026522,            0.010521,             0.86148,             0.78171,             0.85796,             0.52587,            0.027432,            0.011242,            0.007822,           0.0089065,           0.0089065,           0.0089065
                  70,            0.027161,             0.02759,            0.010803,             0.86265,             0.75683,             0.85762,             0.53999,            0.026983,            0.011184,           0.0076823,           0.0088755,           0.0088755,           0.0088755
                  71,            0.026749,            0.027345,            0.010582,             0.78383,             0.81206,             0.85283,             0.53265,            0.027648,            0.011153,            0.009054,           0.0088442,           0.0088442,           0.0088442
                  72,             0.02632,            0.025408,            0.011646,             0.81082,              0.7576,              0.8476,             0.53145,             0.02813,            0.011103,           0.0088338,           0.0088124,           0.0088124,           0.0088124
                  73,            0.026527,            0.025435,            0.011724,             0.85814,             0.77933,             0.87319,             0.54822,            0.027058,             0.01086,           0.0075543,           0.0087804,           0.0087804,           0.0087804
                  74,            0.026065,            0.025858,           0.0098032,              0.8777,             0.74773,              0.8657,             0.53964,            0.027793,            0.010899,           0.0078538,           0.0087479,           0.0087479,           0.0087479
                  75,            0.026611,            0.026163,            0.010404,             0.81189,             0.78104,             0.86547,             0.55764,            0.026675,            0.010791,           0.0070273,           0.0087151,           0.0087151,           0.0087151
                  76,            0.026547,            0.026666,            0.010348,             0.86328,              0.7578,             0.86496,             0.53923,             0.02821,            0.010792,            0.008055,            0.008682,            0.008682,            0.008682
                  77,            0.026253,             0.02555,            0.010106,             0.85957,             0.78989,             0.87217,             0.55302,            0.026427,            0.010821,           0.0083328,           0.0086485,           0.0086485,           0.0086485
                  78,            0.025973,            0.025688,             0.01009,             0.84466,             0.76933,             0.86157,             0.54541,            0.026943,            0.011051,            0.007794,           0.0086146,           0.0086146,           0.0086146
                  79,            0.026211,            0.025799,           0.0096071,             0.84135,             0.76531,             0.87194,             0.54742,            0.027028,            0.010807,           0.0073993,           0.0085805,           0.0085805,           0.0085805
                  80,            0.025882,            0.025959,           0.0097351,             0.83636,             0.79437,             0.86603,             0.53987,            0.027067,            0.010709,           0.0081206,           0.0085459,           0.0085459,           0.0085459
                  81,             0.02584,            0.026048,           0.0096226,             0.81277,             0.74335,             0.83303,             0.53007,            0.027738,            0.011086,           0.0092395,           0.0085111,           0.0085111,           0.0085111
                  82,            0.025749,            0.026737,           0.0090907,             0.79281,             0.80202,             0.85893,             0.55748,            0.027104,            0.010841,           0.0085818,           0.0084759,           0.0084759,           0.0084759
                  83,            0.025692,            0.025619,           0.0089069,             0.86201,             0.76963,             0.87685,             0.57527,            0.026567,            0.010656,            0.006532,           0.0084404,           0.0084404,           0.0084404
                  84,            0.025407,            0.024542,           0.0084806,             0.80904,             0.78531,             0.86061,             0.54591,            0.026664,            0.010986,           0.0072325,           0.0084046,           0.0084046,           0.0084046
                  85,            0.025818,            0.025156,           0.0088607,             0.84727,              0.8069,             0.88115,             0.56873,            0.026181,            0.010733,           0.0066132,           0.0083684,           0.0083684,           0.0083684
                  86,            0.025631,            0.025714,           0.0089926,              0.8608,              0.7772,              0.8737,             0.56087,            0.026145,            0.010706,           0.0078083,           0.0083319,           0.0083319,           0.0083319
                  87,            0.025222,            0.024643,           0.0089282,             0.78923,             0.84252,             0.87878,             0.56838,            0.026437,            0.010752,           0.0062455,           0.0082952,           0.0082952,           0.0082952
                  88,            0.025504,            0.025503,           0.0084962,             0.82756,             0.83508,             0.87107,             0.55101,            0.026447,            0.010708,            0.008647,           0.0082581,           0.0082581,           0.0082581
                  89,            0.025251,            0.025021,           0.0093193,             0.84172,             0.82864,             0.89616,             0.56281,            0.026413,            0.010584,           0.0064614,           0.0082207,           0.0082207,           0.0082207
                  90,            0.025389,            0.025601,           0.0086793,             0.83292,             0.80021,             0.87388,             0.56998,            0.026003,            0.010862,           0.0057654,            0.008183,            0.008183,            0.008183
                  91,            0.025253,            0.026038,           0.0091552,             0.86195,               0.812,             0.87364,              0.5614,            0.026525,             0.01073,           0.0069668,            0.008145,            0.008145,            0.008145
                  92,            0.025224,            0.026112,           0.0094619,             0.86929,             0.79469,             0.86653,             0.55512,            0.027189,              0.0109,           0.0069667,           0.0081068,           0.0081068,           0.0081068
                  93,            0.025324,            0.025933,           0.0088354,             0.83962,             0.81138,             0.86944,             0.56219,            0.026187,            0.010814,           0.0070172,           0.0080682,           0.0080682,           0.0080682
                  94,            0.025493,            0.025125,           0.0084432,             0.91249,             0.75998,             0.88042,             0.56861,            0.026543,            0.010527,            0.006467,           0.0080294,           0.0080294,           0.0080294
                  95,            0.025253,            0.024886,           0.0088652,             0.84676,             0.80234,             0.87704,             0.57147,            0.026296,              0.0107,           0.0071873,           0.0079903,           0.0079903,           0.0079903
                  96,            0.025066,            0.025005,           0.0090565,              0.8231,              0.8292,             0.88983,             0.57409,            0.025871,            0.010712,           0.0069987,           0.0079509,           0.0079509,           0.0079509
                  97,            0.025176,            0.025034,           0.0084405,             0.83465,             0.82829,             0.89792,             0.58873,            0.025733,            0.010487,            0.006601,           0.0079112,           0.0079112,           0.0079112
                  98,            0.025079,            0.024781,           0.0081979,             0.88364,             0.79514,             0.88744,              0.5728,            0.026219,            0.010648,            0.007313,           0.0078713,           0.0078713,           0.0078713
                  99,            0.025144,            0.024175,           0.0073246,             0.79822,              0.8517,             0.88302,              0.5718,            0.026372,            0.010868,           0.0053563,           0.0078311,           0.0078311,           0.0078311
                 100,            0.024898,            0.025456,           0.0079296,             0.81232,             0.83391,             0.87151,             0.56578,             0.02616,            0.010819,           0.0068729,           0.0077907,           0.0077907,           0.0077907
                 101,            0.025064,            0.025158,           0.0077689,             0.89833,             0.75725,             0.88075,             0.56984,            0.025815,            0.010695,           0.0068944,             0.00775,             0.00775,             0.00775
                 102,            0.024684,            0.024682,           0.0085903,             0.88716,             0.78968,             0.88569,               0.567,              0.0259,            0.010853,           0.0054933,           0.0077091,           0.0077091,           0.0077091
                 103,            0.024579,            0.024914,           0.0071232,             0.87615,             0.78966,             0.89264,             0.57896,            0.025765,            0.010608,           0.0067343,           0.0076679,           0.0076679,           0.0076679
